mal_class,percentile,tpr,tpr_sd,fpr,fpr_sd
A3,80.0,0.9815555555555555,0.0005443310539517937,0.2830740740740741,0.01332798246540261
A3,85.0,0.9813333333333333,0.0008314794192830975,0.21955555555555556,0.012701921913702004
A3,90.0,0.9806666666666667,0.0008888888888889002,0.15277777777777776,0.01182346136641582
A3,93.0,0.9804444444444446,0.0005443310539518481,0.10555555555555556,0.01485965436496976
A3,95.0,0.9802222222222223,0.0004444444444444695,0.0754074074074074,0.013765326910963879
A3,97.0,0.9800000000000001,0.0007027283689263111,0.04381481481481482,0.00824571219163785
A3,98.0,0.9795555555555555,0.0005443310539517937,0.03037037037037037,0.007970280875168762
A3,99.0,0.9793333333333333,0.0005443310539517937,0.014444444444444444,0.0054269054860948945
A3,99.5,0.9791111111111113,0.00044444444444442506,0.008555555555555556,0.003949961365302195
A3,99.9,0.9782222222222222,0.000544331053951848,0.001888888888888889,0.0016538602638345265
