t,xapp,score,score_smoothed,trust_state,kind,attacking,seed,mal_class
15.0,benign_sched,0.21376780273988005,0.23073129749213392,HEALTHY,benign,False,0,A2
15.0,benign_kpm,0.1239456723429771,0.2942370552823378,HEALTHY,benign,False,0,A2
15.0,mal_A2,0.12822956394636884,0.2396114374568918,HEALTHY,A2,False,0,A2
16.0,benign_ho,0.3740423619020904,0.38704268204653736,HEALTHY,benign,False,0,A2
16.0,benign_sched,0.20153353587534256,0.22489174516877566,HEALTHY,benign,False,0,A2
16.0,benign_kpm,0.29039519562101795,0.2934686833500738,HEALTHY,benign,False,0,A2
16.0,mal_A2,0.11260137610417977,0.2142094251863494,HEALTHY,A2,False,0,A2
17.0,benign_ho,0.4489067782998151,0.39941550129719294,HEALTHY,benign,False,0,A2
17.0,benign_sched,0.24324450520895746,0.22856229717681203,HEALTHY,benign,False,0,A2
17.0,benign_kpm,0.27817479959694635,0.2904099065994483,HEALTHY,benign,False,0,A2
17.0,mal_A2,0.14797103163928763,0.20096174647693704,HEALTHY,A2,False,0,A2
18.0,benign_ho,0.22526801412998396,0.3645860038637512,HEALTHY,benign,False,0,A2
18.0,benign_sched,0.2275858844002872,0.22836701462150708,HEALTHY,benign,False,0,A2
18.0,benign_kpm,0.1469386938219924,0.26171566404395713,HEALTHY,benign,False,0,A2
18.0,mal_A2,0.0985845487310778,0.1804863069277652,HEALTHY,A2,False,0,A2
19.0,benign_ho,0.35858013446211046,0.36338482998342303,HEALTHY,benign,False,0,A2
19.0,benign_sched,0.11331561691340712,0.20535673507988708,HEALTHY,benign,False,0,A2
19.0,benign_kpm,0.28056531859588923,0.26548559495434354,HEALTHY,benign,False,0,A2
19.0,mal_A2,0.3402167414514346,0.21243239383249912,HEALTHY,A2,False,0,A2
20.0,benign_ho,0.47354801703028143,0.3854174673927947,HEALTHY,benign,False,0,A2
20.0,benign_sched,0.20601859803997608,0.2054891076719049,HEALTHY,benign,False,0,A2
20.0,benign_kpm,0.21576015645603755,0.25554050725468236,HEALTHY,benign,False,0,A2
20.0,mal_A2,0.06893815447180353,0.18373354596036,HEALTHY,A2,False,0,A2
21.0,benign_ho,0.37905317490217516,0.38414460889467084,HEALTHY,benign,False,0,A2
21.0,benign_sched,0.11671558474525714,0.18773440308657535,HEALTHY,benign,False,0,A2
21.0,benign_kpm,0.2090651136765208,0.24624542853905004,HEALTHY,benign,False,0,A2
21.0,mal_A2,0.12618388194149582,0.17222361315658719,HEALTHY,A2,False,0,A2
22.0,benign_ho,0.4935050948295346,0.40601670608164364,HEALTHY,benign,False,0,A2
22.0,benign_sched,0.11139658599583807,0.1724668396684279,HEALTHY,benign,False,0,A2
22.0,benign_kpm,0.19698664973529242,0.23639367277829854,HEALTHY,benign,False,0,A2
22.0,mal_A2,0.3349087336835045,0.20476063726197066,HEALTHY,A2,False,0,A2
23.0,benign_ho,0.40426135365653815,0.40566563559662255,HEALTHY,benign,False,0,A2
23.0,benign_sched,0.23379079459621585,0.1847316306539855,HEALTHY,benign,False,0,A2
23.0,benign_kpm,0.2443541613056401,0.23798577048376685,HEALTHY,benign,False,0,A2
23.0,mal_A2,0.2023201871021289,0.20427254723000232,HEALTHY,A2,False,0,A2
24.0,benign_ho,0.4533172022302891,0.41519594892335593,HEALTHY,benign,False,0,A2
