mal_class,percentile,tpr,tpr_sd,fpr,fpr_sd
A2,80.0,0.99,0.0026293687924887166,0.2666666666666667,0.01700116997507119
A2,85.0,0.9893333333333333,0.0031111111111111374,0.20285185185185184,0.021110656265405495
A2,90.0,0.9886666666666667,0.0025724082006200475,0.1401851851851852,0.01946436369488197
A2,93.0,0.9873333333333333,0.0026851213274655,0.1032962962962963,0.02065471577995246
A2,95.0,0.9871111111111113,0.0026851213274655,0.0767037037037037,0.01584233012748796
A2,97.0,0.9864444444444445,0.002572408200620088,0.04855555555555555,0.014140874608915652
A2,98.0,0.9855555555555556,0.0025337231668869703,0.03425925925925926,0.011087629508633184
A2,99.0,0.9844444444444445,0.0029814239699996977,0.01925925925925926,0.0064459342679789745
A2,99.5,0.9833333333333334,0.002897423291201179,0.008555555555555556,0.004
A2,99.9,0.9815555555555555,0.0026851213274654484,0.0022222222222222222,0.0019173598674881163
