tpr,fpr,latency,mal_class
0.9788888888888889,0.013888888888888888,19.0,A3
0.98,0.024074074074074074,18.0,A3
0.9788888888888889,0.01074074074074074,19.0,A3
0.98,0.008148148148148147,18.0,A3
0.9788888888888889,0.015370370370370371,19.0,A3
