mal_class,percentile,tpr,tpr_sd,fpr,fpr_sd
A1,80.0,0.9935555555555554,0.0008314794192831094,0.29196296296296304,0.011630219376412655
A1,85.0,0.9931111111111111,0.0008314794192830975,0.2185185185185185,0.00598466261011657
A1,90.0,0.9926666666666666,0.0008888888888888501,0.145,0.006518939380353124
A1,93.0,0.9926666666666666,0.0008888888888888501,0.10448148148148148,0.008550984830052384
A1,95.0,0.992,0.0008314794192830618,0.07722222222222222,0.010431039467001356
A1,97.0,0.9915555555555556,0.001333333333333327,0.05018518518518519,0.009736585510007603
A1,98.0,0.9911111111111112,0.0014054567378526046,0.036259259259259255,0.006612330004868061
A1,99.0,0.9911111111111112,0.0014054567378526046,0.019407407407407408,0.004897299163278695
A1,99.5,0.9886666666666667,0.004061259307221568,0.010222222222222221,0.003955167133099998
A1,99.9,0.9591111111111111,0.05691405693274038,0.003481481481481482,0.0028216291784801343
